Airport Code,X,Y
SPS,0640,0597
CDC,0288,0452
CNY,0370,0433
OGD,0329,0357
PVU,0328,0386
SLC,0330,0377
SGU,0284,0477
VEL,0385,0394
CHO,1102,0391
LYH,1090,0424
PHF,1154,0409
ORF,1163,0417
RIC,1127,0411
ROA,1073,0432
SHD,1090,0394
DCA,1129,0367
IAD,1122,0363
STT,0564,0791
STX,0522,0847
BTV,1163,0174
BLI,0160,0081
PAE,0160,0113
PSC,0206,0177
PUW,0248,0174
SEA,0150,0131
GEG,0247,0147
ALW,0221,0182
EAT,0194,0141
YKM,0174,0154
ATW,0850,0266
EAU,0781,0256
GRB,0856,0257
LSE,0795,0289
MSN,0850,0295
MKE,0865,0299
CWA,0826,0246
RHI,0820,0225
HTS,1011,0415
CRW,1033,0405
CKB,1055,0373
LWB,1058,0420
CPR,0456,0322
CYS,0494,0381
COD,0398,0266
GCC,0483,0277
JAC,0369,0281
LAR,0473,0372
RIW,0415,0313
RKS,0397,0355
SHR,0448,0267
